neo_id,name,max_diameter_km,min_diameter_km,miss_distance_km,miss_distance_lunar,relative_velocity_kph,absolute_magnitude_h,is_potentially_hazardous_asteroid,num_close_approaches,total_known_neos,size_to_distance_ratio,scaled_size_to_distance_ratio,approach_category,priority_watch,observatory_code,confidence_score
2136770,136770 (1996 PC1),0.459240286,0.2053784995,61668127.54939708,160.3559035748,83073.9012659539,20.56,False,1,39123,0.0028638813773749316,0.029098,distant,0,I41,0.71
3754379,(2016 NR),0.1032856481,0.046190746,30035053.053869527,78.1002806922,25610.3892026348,23.8,False,1,39123,0.0013224747361287692,0.01318,distant,0,I41,0.95
3991578,(2020 CH2),0.0714562102,0.0319561887,41701346.23079657,108.4361942037,38907.1353534253,24.6,False,1,39123,0.0006589701042602785,0.006328,distant,0,703,
3653190,(2013 US3),0.3236234466,0.1447288051,65599203.380468614,170.5778973658,21546.9183191089,21.32,True,1,39123,0.0018972179373626446,0.019115,distant,0,UNMATCHED,
3709137,(2015 BQ512),0.0472106499,0.0211132445,48658458.75424132,126.5268045287,66601.3528919959,25.5,False,1,39123,0.00037312765524945534,0.003376,distant,0,W88,0.95
3744813,(2016 DE1),0.0517654482,0.0231502122,38224403.65137831,99.3950851064,97525.5111753088,25.3,False,1,39123,0.0005208049084578615,0.004901,distant,0,G96,
3773919,(2017 GT6),0.1644523102,0.0735453089,41760074.42013459,108.588905373,58680.8233345483,22.79,False,1,39123,0.0015144485491875132,0.015162,distant,0,G96,0.65
3799759,(2018 DY3),0.0430566244,0.0192555078,21617916.347058233,56.2131630551,44418.6406156284,25.7,False,1,39123,0.0007659527068027823,0.007433,moderate,0,F51,0.56
3266031,(2005 BU),0.0271668934,0.0121494041,61128505.09895361,158.9527209411,56532.176322606,26.7,False,1,39123,0.0001709117858389269,0.001288,distant,0,UNMATCHED,
3600236,(2012 DW60),0.0297879063,0.0133215567,11795415.646299293,30.6716712371,22907.2462976516,26.5,False,1,39123,0.0009711862803213993,0.009552,moderate,0,G96,0.84
