neo_id,observatory_code,confidence_score
3476705,703,0.83
54137508, G96,0.82
3740926,703,0.76
3741151,F51,0.69
3600236, G96,0.84
3723817,I41,0.91
3274691,703,0.90
1429895,F51,0.63
3767609,W88,0.93
3805270, G96,0.74
3761750, G96,0.72
1364647,703,0.87
3467149, G96,0.79
54049855,F51,0.68
3646734,703,
3837923,UNKNOWN,0.55
3686083,UNKNOWN,0.83
3645042,F51,0.69
3989296,W88,0.62
3544935,G96,null
3567573,UNKNOWN,0.81 
3843155,703,0.72
2620082, G96,0.63
3991578,703,null
3448109,UNKNOWN,0.81
3287433,703,0.68
3727045,UNKNOWN,0.95
3824114,W88,null
3678630,UNKNOWN,0.90
3468430,703,0.93
3382711,G96,0.86
3770142,UNKNOWN,0.76 
3607412,W88,0.58
2628250,W88,0.71
3401388,W88,0.87
3743896, G96,0.65
4742072, G96,0.68
3799759,F51,0.56
3666430,I41,0.51
4106585,W88,
3766164,703,null
2001620,G96,0.75
3685269,F51,0.60 
3661496,703,0.88
3826623,703,0.55
2136770,I41,0.71
3837804, G96,0.53
3757412, G96,0.55
3749345,I41,N/A
3838283,703,N/A
3448993,I41,0.73
3771018,G96,0.72
3802409,W88,0.55
3989266,W88,0.91
3986773,UNKNOWN,0.92
54054410,F51,0.74
3555171,G96,0.58 
3754379,I41,0.95
3757692,I41,0.71
3595776,UNKNOWN,0.77
3647023,703,0.59
3381260,G96,0.78
3773919, G96,0.65 
3709137,W88,0.95
3744813,G96,N/A
3414400,G96,0.79
