asteroid_id,name,is_hazardous,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,avg_diameter_km,close_approach_date,close_approach_speed_kph,miss_distance_km,miss_distance_lunar,size_to_distance_ratio,approach_category,priority_watch,observatory_code,confidence_score,scaled_size_to_distance_ratio
3746623,(2016 EF156),False,24.7,0.0305,0.0682,0.0494,2026-08-19,78760.01,73046158.09,190.0264,0.000359,distant,0,W88,0.53,0.003344
3986773,(2020 BV1),False,22.4,0.088,0.1968,0.1424,2026-08-11,65879.37,32431639.65,84.3695,0.002333,distant,0,F51,0.71,0.023732
3757692,(2016 PW78),False,21.9,0.1108,0.2478,0.1793,2026-08-10,27444.83,38553240.71,100.2946,0.00247,distant,0,I41,0.87,0.025154
3467149,(2009 RA4),False,21.6,0.1272,0.2845,0.2058,2026-08-14,13272.52,67012722.52,174.3307,0.001632,distant,0,703,0.7,0.016491
3785685,(2017 TH2),False,28.8,0.0046,0.0103,0.0075,2026-07-08,52213.65,50795140.21,132.1414,7.8e-05,distant,0,G96,0.88,0.000442
3678630,(2014 OL339),False,22.78,0.0739,0.1652,0.1195,2026-08-05,32165.58,53777826.58,139.9007,0.001181,distant,0,I41,0.8,0.011834
3743896,(2016 CM246),False,20.55,0.2063,0.4614,0.3338,2026-08-05,71220.12,68092261.89,177.1391,0.002605,distant,0,W88,,0.02654
3754388,(2016 NB1),False,23.9,0.0441,0.0986,0.0714,2026-07-14,30381.19,11593805.48,30.1608,0.00327,moderate,0,G96,0.87,0.033419
3653190,(2013 US3),True,21.32,0.1447,0.3236,0.2342,2026-08-07,21546.92,65599203.38,170.6535,0.001896,distant,0,G96,0.77,0.019225
3989285,(2020 BX12),True,20.63,0.1989,0.4447,0.3218,2026-07-21,70579.1,70060876.36,182.2603,0.00244,distant,0,I41,,0.024838
3685269,(2014 QL390),False,22.27,0.0934,0.2089,0.1512,2026-08-04,10116.78,40926111.65,106.4675,0.001963,distant,0,703,0.82,0.019908
3184159,(2004 MW2),False,19.3,0.3669,0.8204,0.5937,2026-07-02,114414.22,38581866.3,100.3691,0.008174,distant,0,G96,0.53,0.084076
3447916,(2009 DB1),False,23.05,0.0652,0.1459,0.1056,2026-07-16,95584.87,69118723.01,179.8094,0.000811,distant,0,F51,0.91,0.008016
3771018,(2017 EZ2),False,25.1,0.0254,0.0568,0.0411,2026-08-09,48682.39,64279768.6,167.221,0.000339,distant,0,G96,0.88,0.003141
3989296,(2020 BK13),False,28.5,0.0053,0.0119,0.0086,2026-08-01,82867.48,67416998.08,175.3824,6.8e-05,distant,0,F51,0.63,0.000333
3989139,(2020 BW5),False,26.41,0.0139,0.031,0.0225,2026-07-05,66678.44,50338854.09,130.9544,0.000237,distant,0,G96,0.6,0.002084
3555171,(2011 AA37),False,22.8,0.0732,0.1637,0.1185,2026-08-10,6483.3,14247353.11,37.0639,0.004417,moderate,0,G96,0.78,0.04526
3893233,(2019 WG),False,24.2,0.0384,0.0859,0.0622,2026-07-20,25671.74,74716629.71,194.3721,0.000442,distant,0,UNKNOWN,0.94,0.0042
3789741,(2017 WY27),False,27.9,0.007,0.0156,0.0113,2026-08-18,26802.89,32285715.7,83.9899,0.000186,distant,0,G96,0.83,0.001557
3789395,(2017 VZ13),False,27.9,0.007,0.0156,0.0113,2026-07-20,15117.55,51500433.07,133.9762,0.000117,distant,0,F51,0.92,0.00084
2173561,173561 (2000 YV137),True,18.36,0.5657,1.2649,0.9153,2026-08-09,58298.55,5020905.62,13.0617,0.096837,close,0,G96,,1.0
3661496,(2014 CH13),False,24.68,0.0308,0.0689,0.0498,2026-08-08,8439.35,24129530.84,62.7719,0.001097,distant,0,UNKNOWN,0.75,0.010969
3799759,(2018 DY3),False,25.7,0.0193,0.0431,0.0312,2026-08-07,44418.64,21617916.35,56.2381,0.000766,moderate,0,G96,0.77,0.007543
3826685,(2018 PR10),False,24.3,0.0367,0.082,0.0594,2026-07-20,96579.39,69658028.96,181.2124,0.000453,distant,0,G96,0.54,0.004311
3879543,(2019 UF5),False,25.6,0.0202,0.0451,0.0326,2026-08-14,36947.34,40935311.67,106.4914,0.000423,distant,0,G96,0.52,0.004008
3382711,(2007 QA2),False,20.67,0.1952,0.4366,0.3159,2026-08-08,13650.89,35223838.11,91.6333,0.004764,distant,0,I41,0.54,0.04885
3825135,(2018 LV2),False,25.3,0.0232,0.0518,0.0375,2026-08-18,26844.54,41609902.89,108.2464,0.000478,distant,0,G96,0.71,0.004575
3727176,(2015 RF36),False,23.4,0.0555,0.1242,0.0899,2026-07-18,57339.31,67979267.11,176.8451,0.000702,distant,0,W88,0.51,0.006888
3749345,(2016 GC134),False,26.2,0.0153,0.0342,0.0247,2026-08-08,49522.18,53176069.0,138.3352,0.000247,distant,0,W88,,0.002188
3686083,(2014 QL433),True,19.9,0.2783,0.6224,0.4503,2026-08-12,91237.34,19855378.18,51.6529,0.012049,moderate,0,I41,0.85,0.124104
3760536,(2016 TB18),False,24.8,0.0291,0.0652,0.0472,2026-07-05,9286.55,21060073.49,54.7869,0.001189,moderate,0,703,0.78,0.011922
3651160,(2013 TH135),False,20.82,0.1822,0.4074,0.2948,2026-08-20,7966.54,60284890.77,156.8285,0.002598,distant,0,I41,0.8,0.026471
2001620,1620 Geographos (1951 RA),True,15.27,2.3472,5.2486,3.7979,2026-08-12,30101.53,25497054.46,66.3295,0.079129,distant,0,UNKNOWN,0.9,0.817065
3772995,(2017 FX101),False,25.38,0.0223,0.0499,0.0361,2026-07-16,50789.43,59195512.66,153.9946,0.000324,distant,0,UNKNOWN,0.89,0.002981
3102774,(2002 AJ69),False,21.3,0.1461,0.3266,0.2363,2026-07-20,67987.45,38203008.13,99.3835,0.003286,distant,0,G96,0.96,0.033585
3414391,(2008 MG1),False,19.85,0.2848,0.6369,0.4608,2026-07-06,67676.83,63610694.74,165.4805,0.003849,distant,0,UNKNOWN,0.94,0.039391
3600236,(2012 DW60),False,26.5,0.0133,0.0298,0.0216,2026-08-01,22907.25,11795415.65,30.6853,0.000971,moderate,0,G96,0.57,0.009663
3723888,(2015 NU2),True,20.91,0.1748,0.3909,0.2828,2026-07-10,44788.03,70338978.41,182.9838,0.002136,distant,0,703,0.8,0.021701
3837923,(2019 AV13),False,22.25,0.0943,0.2109,0.1526,2026-08-08,53603.87,38554460.35,100.2978,0.002103,distant,0,W88,0.98,0.021355
3754438,(2016 NG15),True,20.62,0.1998,0.4467,0.3233,2026-07-12,72282.28,28820304.47,74.9748,0.005958,distant,0,F51,0.87,0.061186
3720898,(2015 KG158),False,28.3,0.0058,0.013,0.0094,2026-07-07,23764.12,51455374.36,133.8589,9.7e-05,distant,0,703,0.74,0.000638
