neo_id,observatory_code,confidence_score
3746623,W88,0.53
3986773,F51,0.71
3757692,I41,0.87
3467149,703,0.70
3785685, G96,0.88
3678630,I41,0.80
3743896,W88,N/A
3754388,G96,0.87
3653190,G96,0.77
3989285,I41,N/A
3685269,703,0.82
3184159, G96,0.53
3447916,F51,0.91
3771018,G96,0.88
3856177,F51,0.93
4489626,G96,0.54
3989296,F51,0.63
3989139, G96,0.60
3555171,G96,0.78
3893233,UNKNOWN,0.94
3789741, G96,0.83
3789395,F51,0.92
2838270,UNKNOWN,0.96
2173561, G96,
3661496,UNKNOWN,0.75
3799759, G96,0.77
3826685,G96,0.54
3879543,G96,0.52
3382711,I41,0.54
3825135,G96,0.71
1096722,UNKNOWN,0.54
3727176,W88,0.51
3749345,W88,
3686083,I41,0.85
3760536,703,0.78
3651160,I41,0.80
2001620,UNKNOWN,0.90
2836440,UNKNOWN,
3772995,UNKNOWN,0.89
3102774,G96,0.96
3414391,UNKNOWN,0.94
4554367,I41,0.52
3600236,G96,0.57
3723888,703,0.80
3837923,W88,0.98
3754438,F51,0.87
3720898,703,0.74
3760059,G96,N/A
3842885,703,0.87
3264188,I41,0.70
3182823, G96,0.51
54049855,G96,0.94
3666685, G96,0.95
3976579,W88,0.53
3895851,F51,0.85
3448109,W88,0.82
3805270, G96,0.62
3384113,703,0.99
54049855,W88,0.51
2027152,703,0.60
3879168,I41,0.78
3057437,I41,
3457840,703,0.54
3786458,I41,0.75
3843733,W88,0.61 
3761271, G96,0.57
3412893,W88,0.77
3842867,UNKNOWN,0.57
3457386,UNKNOWN,0.68
3701679,W88,null
3623521,G96,0.69
3773919,G96,null
2524474, G96,0.66
3824114,F51,0.71 
3621568,G96,N/A
3991578, G96,0.84
3025766,G96,0.87 
3410474,I41,0.74
3565416,F51,0.94
3720770,F51,0.75
3283950, G96,0.68
3879546,I41,0.72
3843155,F51,0.62
3761750,G96,0.66
2240320,F51,0.89
3893638,703,null
3767609,I41,0.61
3826623,W88,0.55
3799636, G96,null
3647023,703,
3709137,F51,0.69
3770142,F51,0.53
3956451,W88,0.96
3723949,I41,0.88 
3723817,W88,0.75
3666430,I41,null
3797753,G96,0.72
3836413,G96,N/A
3645042, G96,0.94
3825228,G96,0.82
3358522, G96,0.74
3283218,W88,0.56
3567991,G96,0.65
3744813,W88,0.78
4969285,703,0.79
3405616,I41,0.76
3595776,F51,0.60
4058279, G96,0.55
3764824,I41,0.61
2441387,G96,
3757412,703,N/A
3382711,UNKNOWN,0.88
3734749,F51,0.68
3765610,G96,0.81
3794969,I41,null
3772386,I41,0.54
4042427,F51,0.61
3764703,UNKNOWN,0.92
3624902, G96,0.72
3893214,G96,0.51
3703783,I41,0.85
3754379,G96,0.94
2357621,W88,0.54
3741151,F51,0.66
3401388,703,0.79
3842755,I41,
3274691,703,0.58
3837804, G96,0.59
2523808,F51,0.83
3727045,703,0.97
3781708,G96,0.53 
3381260,I41,0.87
3365951, G96,0.92
2136770,703,0.55
3991654, G96,0.55
3843136,I41,0.62
3724221, G96,0.82
2628250,703,0.89 
3840128,F51,0.68
3402134,I41,0.59
3266944,UNKNOWN,0.96 
3724198,W88,0.87
3843605,G96,0.87
3830882,703,null
3624233,W88,0.77
3645793,UNKNOWN,0.65
4278342,W88,0.86
54137508,F51,0.53
3733933,UNKNOWN,0.74
2620082,UNKNOWN,0.56
1495640,F51,0.71
3544935,W88,0.98
3837880,703,0.62
3843105,703,0.51
3297182,I41,0.96
3283679,W88,0.58
1013170,UNKNOWN,0.61
4263332,I41,0.65
3299721,UNKNOWN,0.68
3354468,W88,0.89
3767163,UNKNOWN,0.77
3842637,UNKNOWN,0.55
3766360,F51,0.56
3740929,703,0.57
3749345,W88,0.94 
3837605,W88,
3837923,F51,0.89
3836857,703,0.69
2500136,G96,0.82
3989253,UNKNOWN,0.73
3802409,W88,0.65
3740926,G96,0.85
3623580,G96,0.81
54054410,F51,0.51
3694987, G96,0.57
3989278, G96,0.63
54016711,W88,0.89
3567573,I41,0.56
3414400,G96,0.57
3892694,703,0.56
3825168,703,0.53
3607412,I41,0.55
3147315,W88,0.81
3552537,W88,0.69
3266031,703,0.53
3559843,F51,0.72
3756946,W88,0.63
3661496,G96,0.93
3710914, G96,0.69
